Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2740,"Butter, Ghee",2016,2016,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2740,"Butter, Ghee",2016,2016,kg/cap,1.23,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2740,"Butter, Ghee",2016,2016,g/cap/d,0.03,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2740,"Butter, Ghee",2022,2022,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2740,"Butter, Ghee",2022,2022,kg/cap,1.04,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2740,"Butter, Ghee",2022,2022,g/cap/d,0.02,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2743,Cream,2016,2016,1000 t,11,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2743,Cream,2016,2016,kg/cap,0.31,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2743,Cream,2016,2016,g/cap/d,0.02,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2743,Cream,2022,2022,1000 t,0,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2743,Cream,2022,2022,kg/cap,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2743,Cream,2022,2022,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2737,"Fats, Animals, Raw",2016,2016,1000 t,6,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2737,"Fats, Animals, Raw",2016,2016,kg/cap,0.31,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2737,"Fats, Animals, Raw",2016,2016,g/cap/d,0.06,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2737,"Fats, Animals, Raw",2022,2022,1000 t,9,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2737,"Fats, Animals, Raw",2022,2022,kg/cap,0.45,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2737,"Fats, Animals, Raw",2022,2022,g/cap/d,0.04,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2782,"Fish, Liver Oil",2022,2022,1000 t,0,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2744,Eggs,2016,2016,1000 t,48,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2744,Eggs,2016,2016,kg/cap,1.71,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2744,Eggs,2016,2016,g/cap/d,0.54,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2744,Eggs,2022,2022,1000 t,13,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2744,Eggs,2022,2022,kg/cap,0.69,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2744,Eggs,2022,2022,g/cap/d,0.22,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2848,Milk - Excluding Butter,2016,2016,1000 t,436,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2848,Milk - Excluding Butter,2016,2016,kg/cap,49.73,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,674,Protein supply quantity (g/capita/day),S2848,Milk - Excluding Butter,2016,2016,g/cap/d,6.18,E,Estimated value,
FBS,Food Balances (2010-),004,Afghanistan,5611,Import quantity,S2848,Milk - Excluding Butter,2022,2022,1000 t,211,I,Imputed value,
FBS,Food Balances (2010-),004,Afghanistan,645,Food supply quantity (kg/capita/yr),S2848,Milk - Excluding Butter,2022,2022,kg/cap,37.47,E,Estimated value,
